x,year,month,tw_use_m01,tw_use_m02,tw_use_m03,tw_use_m04,tw_use_m05,tw_use_m06,tw_use_m07,tw_use_m08,tw_use_m09,tw_use_m10,tw_use_m11,tw_use_m12,,label
00컵 인정못해,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
피에로 드립,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
부럽지가 않어,2022,9,256,765,468,335,123,67,102,66,120,124,10,69,,0
해병문학,2022,2,211,1429,498,245,171,131,81,80,64,68,64,24,,0
마이 네임 이즈 찢기,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
소울리스좌,2022,7,205,203,385,143,87,64,20,11,22,11,3,23,,0
아이 러브 마이 화자 마자 브라자,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
눗눗,2022,4,27,29,37,31,34,40,44,31,34,23,35,33,,0
재즈를 뭐라고 생각하세요?,2022,3,17,16,43,18,25,26,35,28,35,40,34,22,,0
오붕가,2022,10,130,217,103,126,98,74,66,100,182,173,158,113,,0
알빠노,2022,3,36307,38798,27314,45963,19818,16900,18156,15007,11501,14641,16045,8630,,1
Young한데? 완전 MZ인데요?,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
중요한 것은 꺾이지 않는 마음,2022,1,790,582,457,295,143,77,169,90,114,173,90,157,,0
갱갱갱,2022,9,158,173,447,678,1158,1610,1660,2090,1898,2272,2065,1724,,1
띠용흥민,2022,10,14,20,11,33,17,16,10,11,9,15,13,13,,0
알빠임?,2022,3,793,837,889,398,169,124,45,25,278,0,0,0,,0
오빠 오빠 차 있어?,2022,2,296,500,241,102,91,72,29,21,13,11,0,3,,0
근데 어쩔건데?,2022,12,353,553,1390,449,305,158,106,388,29,0,0,0,,0
폼 미쳤다,2022,8,51908,42075,35223,25664,25685,32901,45208,50827,34210,19701,27217,41975,,1
누칼협,2022,1,23072,11038,35678,24806,27436,11085,10501,11038,6042,5927,7817,5881,,1
누가 칼들고 협박함?,2022,5,148,199,229,428,552,583,764,837,914,745,879,800,,1
"천천히 해, 누가 칼들고 협박함?",2022,4,36,19,23,19,31,23,187,40,52,61,36,31,,0
누가 게임하라고 칼들고 협박했냐?,2022,1,43,44,40,39,47,23,142,36,55,51,79,37,,0
언캐니 밈,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
캐니 밈,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
