x,year,month,tw_use_m01,tw_use_m02,tw_use_m03,tw_use_m04,tw_use_m05,tw_use_m06,tw_use_m07,tw_use_m08,tw_use_m09,tw_use_m10,tw_use_m11,tw_use_m12,,label
탕탕 후루후루,2024,5,1205,1143,1345,2104,2657,3488,4242,3794,220,185,3817,4717,,1
저속노화,2025,1,8015,7159,12453,11765,9454,5396,6362,3116,207,2667,1820,1845,,1
PPAP,2021,10,14694,20055,15973,10747,42346,14521,19367,22112,16366,15226,22442,14488,,1
공주의 규칙,2025,2,2390,5917,2104,791,481,274,139,47,36,14,0,3,,0
에그워드리,2024,12,2307,2435,3311,3059,2016,1199,1129,1038,217,623,221,776,,1
뉴런 공유,2023,5,81,83,110,79,84,94,81,65,75,57,81,85,,0
움파룸파 둠파티두,2024,2,1204,705,2925,2491,810,376,147,223,28,30,8,4,,0
자라나라 트리트리,2023,11,52,43,53,49,61,46,52,36,43,43,46,39,,0
로버트는 얼마나 좋았을까?,2023,8,4347,1868,827,417,308,76,47,22,10,6,3,2,,0
너와의 모든 지금,2024,11,5060,4185,8261,2801,1838,829,478,174,87,64,19,14,,0
안익었는데진짜,2023,3,15588,4986,1653,668,425,119,58,24,12,4,1,1,,0
내 트리를 꾸며줘!,2021,12,481,1599,1037,639,368,226,337,109,52,55,42,13,,0
베리 드뮤어,2024,9,11425,6084,16318,7121,2783,1107,406,191,333,26,11,7,,0
예민하네 화났네,2021,9,289,284,448,743,1519,2389,1883,1916,144,1927,2329,2369,,1
풍향고,2024,11,1234,4183,1783,539,235,187,135,51,25,246,4,2,,0
땡큐 카테키,2025,3,1362,3875,1906,1424,538,473,206,167,66,43,27,17,,0
BENJAMIN'S DELI,2023,11,128,165,143,181,155,126,135,126,136,116,120,153,,0
모스부호,2023,9,138,103,219,138,90,78,79,87,87,85,102,105,,0
튀르키예즈 온 더 블럭,2022,6,59,77,46,50,56,47,95,73,60,73,45,45,,0
쩝쩝박사,2021,4,9502,7495,7871,28477,6786,7702,9655,41140,10816,10196,6802,6308,,1
굳이데이,2023,6,882,623,1451,507,337,255,205,65,78,37,57,38,,0
댄스챌린짐,2024,5,2559,10880,1924,3314,3118,2859,55,7820,6242,2801,2873,2500,,1
체리피스,2022,10,6738,18531,8986,3407,911,446,350,89,27,16,4,3,,0
별꾸,2024,6,58,78,66,83,50,57,58,67,54,52,59,62,,0
젤다 휴가,2023,5,349,369,622,285,189,105,96,49,30,19,10,6,,0
스웨덴 게이트,2022,6,3651,9673,3290,1998,715,476,159,68,39,152,9,5,,0
솔숲 끝으로 해맑은 햇살이 찾아오고,2025,4,5309,9005,4462,1825,771,389,202,74,57,20,8,4,,0
쇠일러문,2024,5,1168,1142,871,502,186,138,109,58,27,54,48,12,,0
머니딛,2022,11,187,340,499,223,159,113,69,34,26,19,13,0,,0
무도일력,2024,12,106,124,182,160,113,140,133,117,103,95,115,132,,0
춘식이,2021,8,5174,5276,21535,4955,4573,5454,27419,4419,5909,5274,3570,3647,,1
텍스트힙,2024,10,8898,16741,4749,1939,578,371,162,82,30,12,5,2,,0
조쉬 허쳐슨 밈,2023,11,2750,10444,2593,1269,768,141,85,29,13,4,3,1,,0
렛미두잇뽈유,2023,2,4006,3876,8748,4325,1909,616,432,244,80,28,24,11,,0
후드에서 살아남기,2022,10,2815,5434,1850,2250,1664,2606,142,108,3912,1880,2168,1272,,1
옛메,2024,1,50,47,48,34,40,33,34,22,51,43,42,27,,0
잘파세대,2023,3,60,70,58,74,72,58,63,57,52,165,58,59,,0
익속,2025,3,41,68,53,54,50,42,42,52,48,55,51,42,,0
드라우닝,2024,10,447,337,483,461,429,602,144,232,726,850,878,818,,1
쉿재용,2023,12,50,46,61,65,39,48,72,32,43,45,56,37,,0
총켓몬,2024,1,626,816,609,245,158,100,49,46,20,9,7,3,,0
방방컨,2022,8,51,37,45,59,36,48,47,43,35,24,41,30,,0
조나단 밀크티,2021,12,73,116,89,91,109,70,91,82,87,78,81,78,,0
지우학,2022,2,8298,14844,33142,9378,6314,1599,721,197,164,75,15,5,,0
공주들은 원래 그래,2024,12,117,107,130,129,140,130,144,107,96,108,97,103,,0
숲튽훈,2023,11,1010,1268,1601,2256,2141,2663,183,114,3424,3163,3287,2554,,1
지글지글,2022,6,35,42,30,45,36,37,44,39,22,28,34,30,,0
ONION 하세요,2023,12,23,20,39,28,28,23,25,23,30,23,18,27,,0
돌탁댄스,2023,6,1151,1382,1714,1175,383,265,215,97,71,34,21,10,,0
그대들은 어떻게 살 것인가,2023,10,5653,18754,20688,9610,2487,1383,614,410,146,32,24,12,,0
시발 카드,2021,9,9509,4520,2576,1262,344,217,112,33,246,15,6,2,,0
나 아는사람 강다니엘 닮은 이모가 다시보게되는게 다시 그때처럼 안닮게 엄마보면 느껴지는걸수도 있는거임?,2018,1,231,233,112,43,12,35,44,19,6,0,1,0,,0
오스틴입니다,2019,9,2642,16849,2751,2259,1892,2941,1856,88,7837,2785,2359,3237,,1
자세히 보기를 누르지 마십시오,2019,3,5097,7304,2620,1772,941,318,214,61,55,22,8,5,,0
세이브 조작단,2021,10,103,145,120,110,107,98,103,92,76,84,94,123,,0
삐끼삐끼,2024,7,13534,21167,30643,37408,33565,32048,22522,26931,17588,16662,19594,13135,,1
